target	text	textid
John	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth [them] out of the church.	75
John	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth [them] out of the church.	76
John	Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth [them] out of the church.	77
John	Beloved, follow not that which is evil, but that which is good.	78
John	Beloved, follow not that which is evil, but that which is good.	79
John	Beloved, follow not that which is evil, but that which is good.	80
John	He that doeth good is of God: but he that doeth evil hath not seen God.	81
John	He that doeth good is of God: but he that doeth evil hath not seen God.	82
John	He that doeth good is of God: but he that doeth evil hath not seen God.	83
John	Demetrius hath good report of all [men], and of the truth itself: yea, and we [also] bear record; and ye know that our record is true.	84
John	Demetrius hath good report of all [men], and of the truth itself: yea, and we [also] bear record; and ye know that our record is true.	85
John	Demetrius hath good report of all [men], and of the truth itself: yea, and we [also] bear record; and ye know that our record is true.	86
John	I had many things to write, but I will not with ink and pen write unto thee:	87
John	I had many things to write, but I will not with ink and pen write unto thee:	88
John	I had many things to write, but I will not with ink and pen write unto thee:	89
John	But I trust I shall shortly see thee, and we shall speak face to face.	90
John	But I trust I shall shortly see thee, and we shall speak face to face.	91
John	But I trust I shall shortly see thee, and we shall speak face to face.	92
John	Peace [be] to thee.	93
John	Peace [be] to thee.	94
John	Peace [be] to thee.	95
John	[Our] friends salute thee.	96
John	[Our] friends salute thee.	97
John	[Our] friends salute thee.	98
John	Greet the friends by name.	99
John	Greet the friends by name.	100
John	Greet the friends by name.	101
Paul	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:	102
Paul	Grace [be] to you, and peace, from God our Father, and [from] the Lord Jesus Christ.	103
Paul	Blessed [be] the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly [places] in Christ:	104
Paul	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:	105
Paul	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,	106
Paul	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.	107
Paul	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;	108
Paul	Wherein he hath abounded toward us in all wisdom and prudence;	109
Paul	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:	110
Paul	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; [even] in him:	111
Paul	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:	112
Paul	That we should be to the praise of his glory, who first trusted in Christ.	113
Paul	In whom ye also [trusted], after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,	114
Paul	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.	115
Paul	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,	116
Paul	Cease not to give thanks for you, making mention of you in my prayers;	117
Paul	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:	118
Paul	The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,	119
Paul	And what [is] the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,	120
Paul	Which he wrought in Christ, when he raised him from the dead, and set [him] at his own right hand in the heavenly [places],	121
Paul	Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:	122
Paul	And hath put all [things] under his feet, and gave him [to be] the head over all [things] to the church,	123
Paul	Which is his body, the fulness of him that filleth all in all.	124
Paul	And you [hath he quickened], who were dead in trespasses and sins;	125
Paul	Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:	126
Paul	Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others.	127
Paul	But God, who is rich in mercy, for his great love wherewith he loved us,	128
Paul	Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)	129
Paul	And hath raised [us] up together, and made [us] sit together in heavenly [places] in Christ Jesus:	130
Paul	That in the ages to come he might shew the exceeding riches of his grace in [his] kindness toward us through Christ Jesus.	131
Paul	For by grace are ye saved through faith; and that not of yourselves: [it is] the gift of God:	132
Paul	Not of works, lest any man should boast.	133
Paul	For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them.	134
Paul	Wherefore remember, that ye [being] in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;	135
Paul	That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:	136
Paul	But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.	137
Paul	For he is our peace, who hath made both one, and hath broken down the middle wall of partition [between us];	138
Paul	Having abolished in his flesh the enmity, [even] the law of commandments [contained] in ordinances; for to make in himself of twain one new man, [so] making peace;	139
Paul	And that he might reconcile both unto God in one body by the cross, having slain the enmity thereby:	140
Paul	And came and preached peace to you which were afar off, and to them that were nigh.	141
Paul	For through him we both have access by one Spirit unto the Father.	142
Paul	Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;	143
Paul	And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner [stone];	144
Paul	In whom all the building fitly framed together groweth unto an holy temple in the Lord:	145
Paul	In whom ye also are builded together for an habitation of God through the Spirit.	146
Paul	For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,	147
Paul	If ye have heard of the dispensation of the grace of God which is given me to you-ward:	148
Paul	How that by revelation he made known unto me the mystery; (as I wrote afore in few words,	149
Paul	Whereby, when ye read, ye may understand my knowledge in the mystery of Christ)	150
Paul	Which in other ages was not made known unto the sons of men, as it is now revealed unto his holy apostles and prophets by the Spirit;	151
Paul	That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel:	152
Paul	Whereof I was made a minister, according to the gift of the grace of God given unto me by the effectual working of his power.	153
Paul	Unto me, who am less than the least of all saints, is this grace given, that I should preach among the Gentiles the unsearchable riches of Christ;	154
Paul	And to make all [men] see what [is] the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:	155
Paul	To the intent that now unto the principalities and powers in heavenly [places] might be known by the church the manifold wisdom of God,	156
Paul	According to the eternal purpose which he purposed in Christ Jesus our Lord:	157
Paul	In whom we have boldness and access with confidence by the faith of him.	158
Paul	Wherefore I desire that ye faint not at my tribulations for you, which is your glory.	159
Paul	For this cause I bow my knees unto the Father of our Lord Jesus Christ,	160
Paul	Of whom the whole family in heaven and earth is named,	161
Paul	That he would grant you, according to the riches of his glory, to be strengthened with might by his Spirit in the inner man;	162
Paul	That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,	163
Paul	May be able to comprehend with all saints what [is] the breadth, and length, and depth, and height;	164
Paul	And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God.	165
Paul	Now unto him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us,	166
Paul	Unto him [be] glory in the church by Christ Jesus throughout all ages, world without end.	167
Paul	I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,	168
Paul	With all lowliness and meekness, with longsuffering, forbearing one another in love;	169
Paul	Endeavouring to keep the unity of the Spirit in the bond of peace.	170
Paul	[There is] one body, and one Spirit, even as ye are called in one hope of your calling;	171
Paul	One Lord, one faith, one baptism,	172
Paul	One God and Father of all, who [is] above all, and through all, and in you all.	173
Paul	But unto every one of us is given grace according to the measure of the gift of Christ.	174
Paul	Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.	175
Paul	(Now that he ascended, what is it but that he also descended first into the lower parts of the earth?	176
Paul	He that descended is the same also that ascended up far above all heavens, that he might fill all things.)	177
Paul	And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;	178
Paul	For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:	179
Paul	Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ:	180
Paul	That we [henceforth] be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, [and] cunning craftiness, whereby they lie in wait to deceive;	181
Paul	But speaking the truth in love, may grow up into him in all things, which is the head, [even] Christ:	182
Paul	From whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body unto the edifying of itself in love.	183
Paul	This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,	184
Paul	Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart:	185
Paul	Who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness.	186
Paul	But ye have not so learned Christ;	187
Paul	If so be that ye have heard him, and have been taught by him, as the truth is in Jesus:	188
Paul	That ye put off concerning the former conversation the old man, which is corrupt according to the deceitful lusts;	189
Paul	And be renewed in the spirit of your mind;	190
Paul	And that ye put on the new man, which after God is created in righteousness and true holiness.	191
Paul	Wherefore putting away lying, speak every man truth with his neighbour: for we are members one of another.	192
Paul	Be ye angry, and sin not: let not the sun go down upon your wrath:	193
Paul	Neither give place to the devil.	194
Paul	Let him that stole steal no more: but rather let him labour, working with [his] hands the thing which is good, that he may have to give to him that needeth.	195
Paul	Let no corrupt communication proceed out of your mouth, but that which is good to the use of edifying, that it may minister grace unto the hearers.	196
Paul	And grieve not the holy Spirit of God, whereby ye are sealed unto the day of redemption.	197
Paul	Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:	198
Paul	And be ye kind one to another, tenderhearted, forgiving one another, even as God for Christ’s sake hath forgiven you.	199
Paul	Be ye therefore followers of God, as dear children;	200
Paul	And walk in love, as Christ also hath loved us, and hath given himself for us an offering and a sacrifice to God for a sweetsmelling savour.	201
Paul	But fornication, and all uncleanness, or covetousness, let it not be once named among you, as becometh saints;	202
Paul	Neither filthiness, nor foolish talking, nor jesting, which are not convenient: but rather giving of thanks.	203
Paul	For this ye know, that no whoremonger, nor unclean person, nor covetous man, who is an idolater, hath any inheritance in the kingdom of Christ and of God.	204
Paul	Let no man deceive you with vain words: for because of these things cometh the wrath of God upon the children of disobedience.	205
Paul	Be not ye therefore partakers with them.	206
Paul	For ye were sometimes darkness, but now [are ye] light in the Lord: walk as children of light:	207
Paul	(For the fruit of the Spirit [is] in all goodness and righteousness and truth;)	208
Paul	Proving what is acceptable unto the Lord.	209
Paul	And have no fellowship with the unfruitful works of darkness, but rather reprove [them].	210
Paul	For it is a shame even to speak of those things which are done of them in secret.	211
Paul	But all things that are reproved are made manifest by the light: for whatsoever doth make manifest is light.	212
Paul	Wherefore he saith, Awake thou that sleepest, and arise from the dead, and Christ shall give thee light.	213
Paul	See then that ye walk circumspectly, not as fools, but as wise,	214
Paul	Redeeming the time, because the days are evil.	215
Paul	Wherefore be ye not unwise, but understanding what the will of the Lord [is].	216
Paul	And be not drunk with wine, wherein is excess; but be filled with the Spirit;	217
Paul	Speaking to yourselves in psalms and hymns and spiritual songs, singing and making melody in your heart to the Lord;	218
Paul	Giving thanks always for all things unto God and the Father in the name of our Lord Jesus Christ;	219
Paul	Submitting yourselves one to another in the fear of God.	220
Paul	Wives, submit yourselves unto your own husbands, as unto the Lord.	221
Paul	For the husband is the head of the wife, even as Christ is the head of the church: and he is the saviour of the body.	222
Paul	Therefore as the church is subject unto Christ, so [let] the wives [be] to their own husbands in every thing.	223
Paul	Husbands, love your wives, even as Christ also loved the church, and gave himself for it;	224
Paul	That he might sanctify and cleanse it with the washing of water by the word,	225
Paul	That he might present it to himself a glorious church, not having spot, or wrinkle, or any such thing; but that it should be holy and without blemish.	226
Paul	So ought men to love their wives as their own bodies.	227
Paul	He that loveth his wife loveth himself.	228
Paul	For no man ever yet hated his own flesh; but nourisheth and cherisheth it, even as the Lord the church:	229
Paul	For we are members of his body, of his flesh, and of his bones.	230
Paul	For this cause shall a man leave his father and mother, and shall be joined unto his wife, and they two shall be one flesh.	231
Paul	This is a great mystery: but I speak concerning Christ and the church.	232
Paul	Nevertheless let every one of you in particular so love his wife even as himself; and the wife [see] that she reverence [her] husband.	233
Paul	Children, obey your parents in the Lord: for this is right.	234
Paul	Honour thy father and mother; (which is the first commandment with promise;)	235
Paul	That it may be well with thee, and thou mayest live long on the earth.	236
Paul	And, ye fathers, provoke not your children to wrath: but bring them up in the nurture and admonition of the Lord.	237
Paul	Servants, be obedient to them that are [your] masters according to the flesh, with fear and trembling, in singleness of your heart, as unto Christ;	238
Paul	Not with eyeservice, as menpleasers; but as the servants of Christ, doing the will of God from the heart;	239
Paul	With good will doing service, as to the Lord, and not to men:	240
Paul	Knowing that whatsoever good thing any man doeth, the same shall he receive of the Lord, whether [he be] bond or free.	241
Paul	And, ye masters, do the same things unto them, forbearing threatening: knowing that your Master also is in heaven; neither is there respect of persons with him.	242
Paul	Finally, my brethren, be strong in the Lord, and in the power of his might.	243
Paul	Put on the whole armour of God, that ye may be able to stand against the wiles of the devil.	244
Paul	For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high [places].	245
Paul	Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand.	246
Paul	Stand therefore, having your loins girt about with truth, and having on the breastplate of righteousness;	247
Paul	And your feet shod with the preparation of the gospel of peace;	248
Paul	Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked.	249
Paul	And take the helmet of salvation, and the sword of the Spirit, which is the word of God:	250
Paul	Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;	251
Paul	And for me, that utterance may be given unto me, that I may open my mouth boldly, to make known the mystery of the gospel,	252
Paul	For which I am an ambassador in bonds: that therein I may speak boldly, as I ought to speak.	253
Paul	But that ye also may know my affairs, [and] how I do, Tychicus, a beloved brother and faithful minister in the Lord, shall make known to you all things:	254
Paul	Whom I have sent unto you for the same purpose, that ye might know our affairs, and [that] he might comfort your hearts.	255
Paul	Peace [be] to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.	256
Paul	Grace [be] with all them that love our Lord Jesus Christ in sincerity.	257
Paul	Paul, an apostle of Jesus Christ by the will of God, and Timotheus [our] brother,	258
Paul	To the saints and faithful brethren in Christ which are at Colosse: Grace [be] unto you, and peace, from God our Father and the Lord Jesus Christ.	259
Paul	We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,	260
Paul	Since we heard of your faith in Christ Jesus, and of the love [which ye have] to all the saints,	261
Paul	For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;	262
Paul	Which is come unto you, as [it is] in all the world; and bringeth forth fruit, as [it doth] also in you, since the day ye heard [of it], and knew the grace of God in truth:	263
Paul	As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;	264
Paul	Who also declared unto us your love in the Spirit.	265
Paul	For this cause we also, since the day we heard [it], do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;	266
Paul	That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;	267
Paul	Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;	268
Paul	Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:	269
Paul	Who hath delivered us from the power of darkness, and hath translated [us] into the kingdom of his dear Son:	270
Paul	In whom we have redemption through his blood, [even] the forgiveness of sins:	271
Paul	Who is the image of the invisible God, the firstborn of every creature:	272
Paul	For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether [they be] thrones, or dominions, or principalities, or powers: all things were created by him, and for him:	273
Paul	And he is before all things, and by him all things consist.	274
Paul	And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all [things] he might have the preeminence.	275
Paul	For it pleased [the Father] that in him should all fulness dwell;	276
Paul	And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, [I say], whether [they be] things in earth, or things in heaven.	277
Paul	And you, that were sometime alienated and enemies in [your] mind by wicked works, yet now hath he reconciled	278
Paul	In the body of his flesh through death, to present you holy and unblameable and unreproveable in his sight:	279
Paul	If ye continue in the faith grounded and settled, and [be] not moved away from the hope of the gospel, which ye have heard, [and] which was preached to every creature which is under heaven; whereof I Paul am made a minister;	280
Paul	Who now rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body’s sake, which is the church:	281
Paul	Whereof I am made a minister, according to the dispensation of God which is given to me for you, to fulfil the word of God;	282
Paul	[Even] the mystery which hath been hid from ages and from generations, but now is made manifest to his saints:	283
Paul	To whom God would make known what [is] the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:	284
Paul	Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:	285
Paul	Whereunto I also labour, striving according to his working, which worketh in me mightily.	286
Paul	For I would that ye knew what great conflict I have for you, and [for] them at Laodicea, and [for] as many as have not seen my face in the flesh;	287
Paul	That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;	288
Paul	In whom are hid all the treasures of wisdom and knowledge.	289
Paul	And this I say, lest any man should beguile you with enticing words.	290
Paul	For though I be absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the stedfastness of your faith in Christ.	291
Paul	As ye have therefore received Christ Jesus the Lord, [so] walk ye in him:	292
Paul	Rooted and built up in him, and stablished in the faith, as ye have been taught, abounding therein with thanksgiving.	293
Paul	Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.	294
Paul	For in him dwelleth all the fulness of the Godhead bodily.	295
Paul	And ye are complete in him, which is the head of all principality and power:	296
Paul	In whom also ye are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:	297
Paul	Buried with him in baptism, wherein also ye are risen with [him] through the faith of the operation of God, who hath raised him from the dead.	298
Paul	And you, being dead in your sins and the uncircumcision of your flesh, hath he quickened together with him, having forgiven you all trespasses;	299
Paul	Blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;	300
Paul	[And] having spoiled principalities and powers, he made a shew of them openly, triumphing over them in it.	301
Paul	Let no man therefore judge you in meat, or in drink, or in respect of an holyday, or of the new moon, or of the sabbath [days]:	302
Paul	Which are a shadow of things to come; but the body [is] of Christ.	303
Paul	Let no man beguile you of your reward in a voluntary humility and worshipping of angels, intruding into those things which he hath not seen, vainly puffed up by his fleshly mind,	304
Paul	And not holding the Head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.	305
Paul	Wherefore if ye be dead with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances,	306
Paul	(Touch not; taste not; handle not;	307
Paul	Which all are to perish with the using;) after the commandments and doctrines of men?	308
Paul	Which things have indeed a shew of wisdom in will worship, and humility, and neglecting of the body; not in any honour to the satisfying of the flesh.	309
Paul	If ye then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God.	310
Paul	Set your affection on things above, not on things on the earth.	311
Paul	For ye are dead, and your life is hid with Christ in God.	312
Paul	When Christ, [who is] our life, shall appear, then shall ye also appear with him in glory.	313
Paul	Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:	314
Paul	For which things’ sake the wrath of God cometh on the children of disobedience:	315
Paul	In the which ye also walked some time, when ye lived in them.	316
Paul	But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.	317
Paul	Lie not one to another, seeing that ye have put off the old man with his deeds;	318
Paul	And have put on the new [man], which is renewed in knowledge after the image of him that created him:	319
Paul	Where there is neither Greek nor Jew, circumcision nor uncircumcision, Barbarian, Scythian, bond [nor] free: but Christ [is] all, and in all.	320
Paul	Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;	321
Paul	Forbearing one another, and forgiving one another, if any man have a quarrel against any: even as Christ forgave you, so also [do] ye.	322
Paul	And above all these things [put on] charity, which is the bond of perfectness.	323
Paul	And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.	324
Paul	Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.	325
Paul	And whatsoever ye do in word or deed, [do] all in the name of the Lord Jesus, giving thanks to God and the Father by him.	326
Paul	Wives, submit yourselves unto your own husbands, as it is fit in the Lord.	327
Paul	Husbands, love [your] wives, and be not bitter against them.	328
Paul	Children, obey [your] parents in all things: for this is well pleasing unto the Lord.	329
Paul	Fathers, provoke not your children [to anger], lest they be discouraged.	330
Paul	Servants, obey in all things [your] masters according to the flesh; not with eyeservice, as menpleasers; but in singleness of heart, fearing God:	331
Paul	And whatsoever ye do, do [it] heartily, as to the Lord, and not unto men;	332
Paul	Knowing that of the Lord ye shall receive the reward of the inheritance: for ye serve the Lord Christ.	333
Paul	But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.	334
Paul	Masters, give unto [your] servants that which is just and equal; knowing that ye also have a Master in heaven.	335
Paul	Continue in prayer, and watch in the same with thanksgiving;	336
Paul	Withal praying also for us, that God would open unto us a door of utterance, to speak the mystery of Christ, for which I am also in bonds:	337
Paul	That I may make it manifest, as I ought to speak.	338
Paul	Walk in wisdom toward them that are without, redeeming the time.	339
Paul	Let your speech [be] alway with grace, seasoned with salt, that ye may know how ye ought to answer every man.	340
Paul	All my state shall Tychicus declare unto you, [who is] a beloved brother, and a faithful minister and fellowservant in the Lord:	341
Paul	Whom I have sent unto you for the same purpose, that he might know your estate, and comfort your hearts;	342
Paul	With Onesimus, a faithful and beloved brother, who is [one] of you.	343
Paul	They shall make known unto you all things which [are done] here.	344
Paul	Aristarchus my fellowprisoner saluteth you, and Marcus, sister’s son to Barnabas, (touching whom ye received commandments: if he come unto you, receive him;)	345
Paul	And Jesus, which is called Justus, who are of the circumcision.	346
