label	text	textid
Matthew	And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.	58
Matthew	I indeed baptize you with water unto repentance: but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, and [with] fire:	59
Matthew	Whose fan [is] in his hand, and he will throughly purge his floor, and gather his wheat into the garner; but he will burn up the chaff with unquenchable fire.	60
Matthew	Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him.	61
Matthew	But John forbad him, saying, I have need to be baptized of thee, and comest thou to me?	62
Matthew	And Jesus answering said unto him, Suffer [it to be so] now: for thus it becometh us to fulfil all righteousness.	63
Matthew	Then he suffered him.	64
Matthew	And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:	65
Matthew	And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased.	66
Matthew	Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.	67
Matthew	And when he had fasted forty days and forty nights, he was afterward an hungred.	68
Matthew	And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread.	69
Matthew	But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.	70
Matthew	Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,	71
Matthew	And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in [their] hands they shall bear thee up, lest at any time thou dash thy foot against a stone.	72
Matthew	Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.	73
Matthew	Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them;	74
Matthew	And saith unto him, All these things will I give thee, if thou wilt fall down and worship me.	75
Matthew	Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.	76
Matthew	Then the devil leaveth him, and, behold, angels came and ministered unto him.	77
Matthew	Now when Jesus had heard that John was cast into prison, he departed into Galilee;	78
Matthew	And leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim:	79
Matthew	That it might be fulfilled which was spoken by Esaias the prophet, saying,	80
Matthew	The land of Zabulon, and the land of Nephthalim, [by] the way of the sea, beyond Jordan, Galilee of the Gentiles;	81
Matthew	The people which sat in darkness saw great light; and to them which sat in the region and shadow of death light is sprung up.	82
Matthew	From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.	83
Matthew	And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.	84
Matthew	And he saith unto them, Follow me, and I will make you fishers of men.	85
Matthew	And they straightway left [their] nets, and followed him.	86
Matthew	And going on from thence, he saw other two brethren, James [the son] of Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets; and he called them.	87
Matthew	And they immediately left the ship and their father, and followed him.	88
Matthew	And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness and all manner of disease among the people.	89
Matthew	And his fame went throughout all Syria: and they brought unto him all sick people that were taken with divers diseases and torments, and those which were possessed with devils, and those which were lunatick, and those that had the palsy; and he healed them.	90
Matthew	And there followed him great multitudes of people from Galilee, and [from] Decapolis, and [from] Jerusalem, and [from] Judaea, and [from] beyond Jordan.	91
Matthew	And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him:	92
Matthew	And he opened his mouth, and taught them, saying,	93
Matthew	Blessed [are] the poor in spirit: for theirs is the kingdom of heaven.	94
Matthew	Blessed [are] they that mourn: for they shall be comforted.	95
Matthew	Blessed [are] the meek: for they shall inherit the earth.	96
Matthew	Blessed [are] they which do hunger and thirst after righteousness: for they shall be filled.	97
Matthew	Blessed [are] the merciful: for they shall obtain mercy.	98
Matthew	Blessed [are] the pure in heart: for they shall see God.	99
Matthew	Blessed [are] the peacemakers: for they shall be called the children of God.	100
Matthew	Blessed [are] they which are persecuted for righteousness’ sake: for theirs is the kingdom of heaven.	101
Matthew	Blessed are ye, when [men] shall revile you, and persecute [you], and shall say all manner of evil against you falsely, for my sake.	102
Matthew	Rejoice, and be exceeding glad: for great [is] your reward in heaven: for so persecuted they the prophets which were before you.	103
Matthew	Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted?	104
Matthew	it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men.	105
Matthew	Ye are the light of the world.	106
Matthew	A city that is set on an hill cannot be hid.	107
Matthew	Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house.	108
Matthew	Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.	109
Matthew	Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil.	110
Matthew	For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.	111
Matthew	Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach [them], the same shall be called great in the kingdom of heaven.	112
Matthew	For I say unto you, That except your righteousness shall exceed [the righteousness] of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven.	113
Matthew	Ye have heard that it was said by them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:	114
Matthew	But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire.	115
Matthew	Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee;	116
Matthew	Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift.	117
Matthew	Agree with thine adversary quickly, whiles thou art in the way with him; lest at any time the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison.	118
Matthew	Verily I say unto thee, Thou shalt by no means come out thence, till thou hast paid the uttermost farthing.	119
Matthew	Ye have heard that it was said by them of old time, Thou shalt not commit adultery:	120
Matthew	But I say unto you, That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart.	121
Matthew	And if thy right eye offend thee, pluck it out, and cast [it] from thee: for it is profitable for thee that one of thy members should perish, and not [that] thy whole body should be cast into hell.	122
Matthew	And if thy right hand offend thee, cut it off, and cast [it] from thee: for it is profitable for thee that one of thy members should perish, and not [that] thy whole body should be cast into hell.	123
Matthew	It hath been said, Whosoever shall put away his wife, let him give her a writing of divorcement:	124
Matthew	But I say unto you, That whosoever shall put away his wife, saving for the cause of fornication, causeth her to commit adultery: and whosoever shall marry her that is divorced committeth adultery.	125
Matthew	Again, ye have heard that it hath been said by them of old time, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths:	126
Matthew	But I say unto you, Swear not at all; neither by heaven; for it is God’s throne:	127
Matthew	Nor by the earth; for it is his footstool: neither by Jerusalem; for it is the city of the great King.	128
Matthew	Neither shalt thou swear by thy head, because thou canst not make one hair white or black.	129
Matthew	But let your communication be, Yea, yea; Nay, nay: for whatsoever is more than these cometh of evil.	130
Matthew	Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth:	131
Matthew	But I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also.	132
Matthew	And if any man will sue thee at the law, and take away thy coat, let him have [thy] cloke also.	133
Matthew	And whosoever shall compel thee to go a mile, go with him twain.	134
Matthew	Give to him that asketh thee, and from him that would borrow of thee turn not thou away.	135
Matthew	Ye have heard that it hath been said, Thou shalt love thy neighbour, and hate thine enemy.	136
Matthew	But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you;	137
Matthew	That ye may be the children of your Father which is in heaven: for he maketh his sun to rise on the evil and on the good, and sendeth rain on the just and on the unjust.	138
Matthew	For if ye love them which love you, what reward have ye?	139
Matthew	do not even the publicans the same?	140
Matthew	And if ye salute your brethren only, what do ye more [than others]?	141
Matthew	do not even the publicans so?	142
Matthew	Be ye therefore perfect, even as your Father which is in heaven is perfect.	143
Matthew	Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven.	144
Matthew	Therefore when thou doest [thine] alms, do not sound a trumpet before thee, as the hypocrites do in the synagogues and in the streets, that they may have glory of men.	145
Matthew	Verily I say unto you, They have their reward.	146
Matthew	But when thou doest alms, let not thy left hand know what thy right hand doeth:	147
Matthew	That thine alms may be in secret: and thy Father which seeth in secret himself shall reward thee openly.	148
Matthew	And when thou prayest, thou shalt not be as the hypocrites [are]: for they love to pray standing in the synagogues and in the corners of the streets, that they may be seen of men.	149
Matthew	Verily I say unto you, They have their reward.	150
Matthew	But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret; and thy Father which seeth in secret shall reward thee openly.	151
Matthew	But when ye pray, use not vain repetitions, as the heathen [do]: for they think that they shall be heard for their much speaking.	152
Matthew	Be not ye therefore like unto them: for your Father knoweth what things ye have need of, before ye ask him.	153
Matthew	After this manner therefore pray ye: Our Father which art in heaven, Hallowed be thy name.	154
Matthew	Thy kingdom come.	155
Matthew	Thy will be done in earth, as [it is] in heaven.	156
Matthew	Give us this day our daily bread.	157
Matthew	And forgive us our debts, as we forgive our debtors.	158
Matthew	And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever.	159
Matthew	Amen.	160
Matthew	For if ye forgive men their trespasses, your heavenly Father will also forgive you:	161
Matthew	But if ye forgive not men their trespasses, neither will your Father forgive your trespasses.	162
Matthew	Moreover when ye fast, be not, as the hypocrites, of a sad countenance: for they disfigure their faces, that they may appear unto men to fast.	163
Matthew	Verily I say unto you, They have their reward.	164
Matthew	But thou, when thou fastest, anoint thine head, and wash thy face;	165
Matthew	That thou appear not unto men to fast, but unto thy Father which is in secret: and thy Father, which seeth in secret, shall reward thee openly.	166
Matthew	Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt, and where thieves break through and steal:	167
Matthew	But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal:	168
Matthew	For where your treasure is, there will your heart be also.	169
Matthew	The light of the body is the eye: if therefore thine eye be single, thy whole body shall be full of light.	170
Matthew	But if thine eye be evil, thy whole body shall be full of darkness.	171
Matthew	If therefore the light that is in thee be darkness, how great [is] that darkness!	172
Matthew	No man can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other.	173
Matthew	Ye cannot serve God and mammon.	174
Matthew	Therefore I say unto you, Take no thought for your life, what ye shall eat, or what ye shall drink; nor yet for your body, what ye shall put on.	175
Matthew	Is not the life more than meat, and the body than raiment?	176
Matthew	Behold the fowls of the air: for they sow not, neither do they reap, nor gather into barns; yet your heavenly Father feedeth them.	177
Matthew	Are ye not much better than they?	178
Matthew	Which of you by taking thought can add one cubit unto his stature?	179
Matthew	And why take ye thought for raiment?	180
Matthew	Consider the lilies of the field, how they grow; they toil not, neither do they spin:	181
Matthew	And yet I say unto you, That even Solomon in all his glory was not arrayed like one of these.	182
Matthew	Wherefore, if God so clothe the grass of the field, which to day is, and to morrow is cast into the oven, [shall he] not much more [clothe] you, O ye of little faith?	183
Matthew	Therefore take no thought, saying, What shall we eat?	184
Matthew	or, What shall we drink?	185
Matthew	or, Wherewithal shall we be clothed?	186
Matthew	(For after all these things do the Gentiles seek:) for your heavenly Father knoweth that ye have need of all these things.	187
Matthew	But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you.	188
Matthew	Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself.	189
Matthew	Sufficient unto the day [is] the evil thereof.	190
Matthew	Judge not, that ye be not judged.	191
Matthew	For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured to you again.	192
Matthew	And why beholdest thou the mote that is in thy brother’s eye, but considerest not the beam that is in thine own eye?	193
Matthew	Or how wilt thou say to thy brother, Let me pull out the mote out of thine eye; and, behold, a beam [is] in thine own eye?	194
Matthew	Thou hypocrite, first cast out the beam out of thine own eye; and then shalt thou see clearly to cast out the mote out of thy brother’s eye.	195
Matthew	Give not that which is holy unto the dogs, neither cast ye your pearls before swine, lest they trample them under their feet, and turn again and rend you.	196
Matthew	Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:	197
Matthew	For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.	198
Matthew	Or what man is there of you, whom if his son ask bread, will he give him a stone?	199
Matthew	Or if he ask a fish, will he give him a serpent?	200
Matthew	If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?	201
Matthew	Therefore all things whatsoever ye would that men should do to you, do ye even so to them: for this is the law and the prophets.	202
Matthew	Enter ye in at the strait gate: for wide [is] the gate, and broad [is] the way, that leadeth to destruction, and many there be which go in thereat:	203
Matthew	Because strait [is] the gate, and narrow [is] the way, which leadeth unto life, and few there be that find it.	204
Matthew	Beware of false prophets, which come to you in sheep’s clothing, but inwardly they are ravening wolves.	205
Matthew	Ye shall know them by their fruits.	206
Matthew	Do men gather grapes of thorns, or figs of thistles?	207
Matthew	Even so every good tree bringeth forth good fruit; but a corrupt tree bringeth forth evil fruit.	208
Matthew	A good tree cannot bring forth evil fruit, neither [can] a corrupt tree bring forth good fruit.	209
Matthew	Every tree that bringeth not forth good fruit is hewn down, and cast into the fire.	210
Matthew	Wherefore by their fruits ye shall know them.	211
Matthew	Not every one that saith unto me, Lord, Lord, shall enter into the kingdom of heaven; but he that doeth the will of my Father which is in heaven.	212
Matthew	Many will say to me in that day, Lord, Lord, have we not prophesied in thy name?	213
Matthew	and in thy name have cast out devils?	214
Matthew	and in thy name done many wonderful works?	215
Matthew	And then will I profess unto them, I never knew you: depart from me, ye that work iniquity.	216
Matthew	Therefore whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man, which built his house upon a rock:	217
Matthew	And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon a rock.	218
Matthew	And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand:	219
Matthew	And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell: and great was the fall of it.	220
Matthew	And it came to pass, when Jesus had ended these sayings, the people were astonished at his doctrine:	221
Matthew	For he taught them as [one] having authority, and not as the scribes.	222
Matthew	When he was come down from the mountain, great multitudes followed him.	223
Matthew	And, behold, there came a leper and worshipped him, saying, Lord, if thou wilt, thou canst make me clean.	224
Matthew	And Jesus put forth [his] hand, and touched him, saying, I will; be thou clean.	225
Matthew	And immediately his leprosy was cleansed.	226
Matthew	And Jesus saith unto him, See thou tell no man; but go thy way, shew thyself to the priest, and offer the gift that Moses commanded, for a testimony unto them.	227
Matthew	And when Jesus was entered into Capernaum, there came unto him a centurion, beseeching him,	228
Matthew	And saying, Lord, my servant lieth at home sick of the palsy, grievously tormented.	229
Matthew	And Jesus saith unto him, I will come and heal him.	230
Matthew	The centurion answered and said, Lord, I am not worthy that thou shouldest come under my roof: but speak the word only, and my servant shall be healed.	231
Matthew	For I am a man under authority, having soldiers under me: and I say to this [man], Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth [it].	232
Matthew	When Jesus heard [it], he marvelled, and said to them that followed, Verily I say unto you, I have not found so great faith, no, not in Israel.	233
Matthew	And I say unto you, That many shall come from the east and west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven.	234
Matthew	But the children of the kingdom shall be cast out into outer darkness: there shall be weeping and gnashing of teeth.	235
Matthew	And Jesus said unto the centurion, Go thy way; and as thou hast believed, [so] be it done unto thee.	236
Matthew	And his servant was healed in the selfsame hour.	237
Matthew	And when Jesus was come into Peter’s house, he saw his wife’s mother laid, and sick of a fever.	238
Matthew	And he touched her hand, and the fever left her: and she arose, and ministered unto them.	239
Matthew	When the even was come, they brought unto him many that were possessed with devils: and he cast out the spirits with [his] word, and healed all that were sick:	240
Matthew	That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare [our] sicknesses.	241
Matthew	Now when Jesus saw great multitudes about him, he gave commandment to depart unto the other side.	242
Matthew	And a certain scribe came, and said unto him, Master, I will follow thee whithersoever thou goest.	243
Matthew	And Jesus saith unto him, The foxes have holes, and the birds of the air [have] nests; but the Son of man hath not where to lay [his] head.	244
Matthew	And another of his disciples said unto him, Lord, suffer me first to go and bury my father.	245
Matthew	But Jesus said unto him, Follow me; and let the dead bury their dead.	246
Matthew	And when he was entered into a ship, his disciples followed him.	247
Matthew	And, behold, there arose a great tempest in the sea, insomuch that the ship was covered with the waves: but he was asleep.	248
Matthew	And his disciples came to [him], and awoke him, saying, Lord, save us: we perish.	249
Matthew	And he saith unto them, Why are ye fearful, O ye of little faith?	250
Matthew	Then he arose, and rebuked the winds and the sea; and there was a great calm.	251
Matthew	But the men marvelled, saying, What manner of man is this, that even the winds and the sea obey him!	252
Matthew	And when he was come to the other side into the country of the Gergesenes, there met him two possessed with devils, coming out of the tombs, exceeding fierce, so that no man might pass by that way.	253
Matthew	And, behold, they cried out, saying, What have we to do with thee, Jesus, thou Son of God?	254
Matthew	art thou come hither to torment us before the time?	255
Matthew	And there was a good way off from them an herd of many swine feeding.	256
Matthew	So the devils besought him, saying, If thou cast us out, suffer us to go away into the herd of swine.	257
Matthew	And he said unto them, Go.	258
Matthew	And when they were come out, they went into the herd of swine: and, behold, the whole herd of swine ran violently down a steep place into the sea, and perished in the waters.	259
Matthew	And they that kept them fled, and went their ways into the city, and told every thing, and what was befallen to the possessed of the devils.	260
Matthew	And, behold, the whole city came out to meet Jesus: and when they saw him, they besought [him] that he would depart out of their coasts.	261
Matthew	And he entered into a ship, and passed over, and came into his own city.	262
Matthew	And, behold, they brought to him a man sick of the palsy, lying on a bed: and Jesus seeing their faith said unto the sick of the palsy; Son, be of good cheer; thy sins be forgiven thee.	263
Matthew	And, behold, certain of the scribes said within themselves, This [man] blasphemeth.	264
Matthew	And Jesus knowing their thoughts said, Wherefore think ye evil in your hearts?	265
Matthew	For whether is easier, to say, [Thy] sins be forgiven thee; or to say, Arise, and walk?	266
Matthew	But that ye may know that the Son of man hath power on earth to forgive sins, (then saith he to the sick of the palsy,) Arise, take up thy bed, and go unto thine house.	267
Matthew	And he arose, and departed to his house.	268
Matthew	But when the multitudes saw [it], they marvelled, and glorified God, which had given such power unto men.	269
Matthew	And as Jesus passed forth from thence, he saw a man, named Matthew, sitting at the receipt of custom: and he saith unto him, Follow me.	270
Matthew	And he arose, and followed him.	271
Matthew	And it came to pass, as Jesus sat at meat in the house, behold, many publicans and sinners came and sat down with him and his disciples.	272
Matthew	And when the Pharisees saw [it], they said unto his disciples, Why eateth your Master with publicans and sinners?	273
Matthew	But when Jesus heard [that], he said unto them, They that be whole need not a physician, but they that are sick.	274
Matthew	But go ye and learn what [that] meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.	275
Matthew	Then came to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?	276
Matthew	And Jesus said unto them, Can the children of the bridechamber mourn, as long as the bridegroom is with them?	277
Matthew	but the days will come, when the bridegroom shall be taken from them, and then shall they fast.	278
Matthew	No man putteth a piece of new cloth unto an old garment, for that which is put in to fill it up taketh from the garment, and the rent is made worse.	279
Matthew	Neither do men put new wine into old bottles: else the bottles break, and the wine runneth out, and the bottles perish: but they put new wine into new bottles, and both are preserved.	280
Matthew	While he spake these things unto them, behold, there came a certain ruler, and worshipped him, saying, My daughter is even now dead: but come and lay thy hand upon her, and she shall live.	281
Matthew	And Jesus arose, and followed him, and [so did] his disciples.	282
Matthew	And, behold, a woman, which was diseased with an issue of blood twelve years, came behind [him], and touched the hem of his garment:	283
Matthew	For she said within herself, If I may but touch his garment, I shall be whole.	284
Matthew	But Jesus turned him about, and when he saw her, he said, Daughter, be of good comfort; thy faith hath made thee whole.	285
Matthew	And the woman was made whole from that hour.	286
Matthew	And when Jesus came into the ruler’s house, and saw the minstrels and the people making a noise,	287
Matthew	He said unto them, Give place: for the maid is not dead, but sleepeth.	288
Matthew	And they laughed him to scorn.	289
Matthew	But when the people were put forth, he went in, and took her by the hand, and the maid arose.	290
Matthew	And the fame hereof went abroad into all that land.	291
Matthew	And when Jesus departed thence, two blind men followed him, crying, and saying, [Thou] Son of David, have mercy on us.	292
Matthew	And when he was come into the house, the blind men came to him: and Jesus saith unto them, Believe ye that I am able to do this?	293
Matthew	They said unto him, Yea, Lord.	294
Matthew	Then touched he their eyes, saying, According to your faith be it unto you.	295
Matthew	And their eyes were opened; and Jesus straitly charged them, saying, See [that] no man know [it].	296
Matthew	But they, when they were departed, spread abroad his fame in all that country.	297
Matthew	As they went out, behold, they brought to him a dumb man possessed with a devil.	298
Matthew	And when the devil was cast out, the dumb spake: and the multitudes marvelled, saying, It was never so seen in Israel.	299
Matthew	But the Pharisees said, He casteth out devils through the prince of the devils.	300
Matthew	And Jesus went about all the cities and villages, teaching in their synagogues, and preaching the gospel of the kingdom, and healing every sickness and every disease among the people.	301
Matthew	But when he saw the multitudes, he was moved with compassion on them, because they fainted, and were scattered abroad, as sheep having no shepherd.	302
Matthew	Then saith he unto his disciples, The harvest truly [is] plenteous, but the labourers [are] few;	303
Matthew	Pray ye therefore the Lord of the harvest, that he will send forth labourers into his harvest.	304
Matthew	And when he had called unto [him] his twelve disciples, he gave them power [against] unclean spirits, to cast them out, and to heal all manner of sickness and all manner of disease.	305
Matthew	Now the names of the twelve apostles are these; The first, Simon, who is called Peter, and Andrew his brother; James [the son] of Zebedee, and John his brother;	306
Matthew	Philip, and Bartholomew; Thomas, and Matthew the publican; James [the son] of Alphaeus, and Lebbaeus, whose surname was Thaddaeus;	307
Matthew	Simon the Canaanite, and Judas Iscariot, who also betrayed him.	308
Matthew	These twelve Jesus sent forth, and commanded them, saying, Go not into the way of the Gentiles, and into [any] city of the Samaritans enter ye not:	309
Matthew	But go rather to the lost sheep of the house of Israel.	310
Matthew	And as ye go, preach, saying, The kingdom of heaven is at hand.	311
